method,k,mean_return,std_return,seed_count
Goal-direction oracle,0,-2.844316,0.497294,3
Goal-direction oracle,1,-2.844316,0.497294,3
Goal-direction oracle,2,-2.844316,0.497294,3
Goal-direction oracle,3,-2.844316,0.497294,3
Goal-direction oracle,5,-2.844316,0.497294,3
MAML-lite,0,-36.540112,3.059654,3
MAML-lite,1,-9.574911,1.917235,3
MAML-lite,2,-5.113593,0.891006,3
MAML-lite,3,-3.810574,0.665919,3
MAML-lite,5,-3.064415,0.529444,3
PEARL-lite,0,-36.540112,3.059654,3
PEARL-lite,1,-3.915142,0.754353,3
PEARL-lite,2,-3.915142,0.754353,3
PEARL-lite,3,-3.915142,0.754353,3
PEARL-lite,5,-3.915142,0.754353,3
RL2-lite,0,-36.540112,3.059654,3
RL2-lite,1,-15.263830,2.816253,3
RL2-lite,2,-9.539751,1.881806,3
RL2-lite,3,-6.604178,1.181396,3
RL2-lite,5,-4.324884,0.758008,3
Random,0,-43.780883,7.232477,3
Random,1,-40.335408,1.711412,3
Random,2,-47.658741,2.680336,3
Random,3,-47.612245,2.684591,3
Random,5,-41.903164,4.340971,3
