method,k,mean_return,std_return,seed_count
Latent oracle,0,-4.040163,0.311451,3
Latent oracle,1,-4.040163,0.311451,3
Latent oracle,2,-4.040163,0.311451,3
Latent oracle,3,-4.040163,0.311451,3
Latent oracle,5,-4.040163,0.311451,3
MAML-latent,0,-45.372908,2.315577,3
MAML-latent,1,-9.457043,1.185636,3
MAML-latent,2,-6.186512,1.278248,3
MAML-latent,3,-5.329079,1.185731,3
MAML-latent,5,-4.978810,1.132875,3
PEARL-latent,0,-45.372908,2.315577,3
PEARL-latent,1,-7.217039,0.234000,3
PEARL-latent,2,-7.217039,0.234000,3
PEARL-latent,3,-7.217039,0.234000,3
PEARL-latent,5,-7.217039,0.234000,3
RL2-latent,0,-45.372908,2.315577,3
RL2-latent,1,-21.725765,1.090612,3
RL2-latent,2,-15.358509,0.534663,3
RL2-latent,3,-11.774735,0.767541,3
RL2-latent,5,-8.143685,1.308246,3
Random,0,-70.768196,4.415365,3
Random,1,-68.599744,4.119475,3
Random,2,-81.855816,5.176192,3
Random,3,-69.604144,6.264471,3
Random,5,-75.928946,4.801397,3
