seed,method,k,return
7,Random,0,-75.076361
7,Random,1,-72.849261
7,Random,2,-87.542431
7,Random,3,-77.518081
7,Random,5,-76.467517
7,Latent oracle,0,-3.815311
7,Latent oracle,1,-3.815311
7,Latent oracle,2,-3.815311
7,Latent oracle,3,-3.815311
7,Latent oracle,5,-3.815311
7,MAML-latent,0,-42.603282
7,MAML-latent,1,-11.105441
7,MAML-latent,2,-7.914069
7,MAML-latent,3,-6.945710
7,MAML-latent,5,-6.530200
7,RL2-latent,0,-42.603282
7,RL2-latent,1,-23.005991
7,RL2-latent,2,-15.804266
7,RL2-latent,3,-12.828973
7,RL2-latent,5,-9.930384
7,PEARL-latent,0,-42.603282
7,PEARL-latent,1,-5.308209
7,PEARL-latent,2,-5.308209
7,PEARL-latent,3,-5.308209
7,PEARL-latent,5,-5.308209
