method,k,mean_return,std_return,seed_count
Latent oracle,0,-3.815311,0.000000,1
Latent oracle,1,-3.815311,0.000000,1
Latent oracle,2,-3.815311,0.000000,1
Latent oracle,3,-3.815311,0.000000,1
Latent oracle,5,-3.815311,0.000000,1
MAML-latent,0,-42.603282,0.000000,1
MAML-latent,1,-11.105441,0.000000,1
MAML-latent,2,-7.914069,0.000000,1
MAML-latent,3,-6.945710,0.000000,1
MAML-latent,5,-6.530200,0.000000,1
PEARL-latent,0,-42.603282,0.000000,1
PEARL-latent,1,-5.308209,0.000000,1
PEARL-latent,2,-5.308209,0.000000,1
PEARL-latent,3,-5.308209,0.000000,1
PEARL-latent,5,-5.308209,0.000000,1
RL2-latent,0,-42.603282,0.000000,1
RL2-latent,1,-23.005991,0.000000,1
RL2-latent,2,-15.804266,0.000000,1
RL2-latent,3,-12.828973,0.000000,1
RL2-latent,5,-9.930384,0.000000,1
Random,0,-75.076361,0.000000,1
Random,1,-72.849261,0.000000,1
Random,2,-87.542431,0.000000,1
Random,3,-77.518081,0.000000,1
Random,5,-76.467517,0.000000,1
