seed,iteration,meta_loss,support_return,query_return
7,1,-0.105792,-69.003199,-72.422314
7,2,-0.078879,-76.062810,-81.089484
7,3,-0.049953,-60.214723,-55.963078
7,4,-0.067549,-58.456640,-70.000582
7,5,0.041215,-67.853114,-55.151231
7,6,-0.073964,-56.383211,-46.201690
7,7,-0.057438,-60.697869,-55.902206
7,8,-0.139761,-67.519779,-67.019812
7,9,-0.199764,-79.605182,-85.830823
7,10,-0.130689,-68.576571,-72.590468
13,1,0.017539,-56.351998,-66.735601
13,2,-0.121767,-44.077429,-38.053157
13,3,0.045572,-77.743732,-80.803041
13,4,-0.022939,-49.256840,-63.009638
13,5,-0.029627,-50.302027,-51.623702
13,6,-0.022394,-83.986227,-81.934551
13,7,0.038585,-60.149566,-62.796475
13,8,0.076674,-43.760481,-51.108072
13,9,-0.086738,-49.399333,-50.061957
13,10,-0.022809,-70.997134,-65.026366
23,1,-0.015861,-33.524658,-34.445032
23,2,-0.074524,-48.754912,-37.364341
23,3,0.032285,-51.321885,-52.185351
23,4,-0.006373,-62.685126,-67.290343
23,5,-0.059100,-31.252332,-33.573080
23,6,-0.009150,-44.350272,-38.792713
23,7,-0.116802,-78.493077,-72.893236
23,8,-0.061646,-47.985554,-54.595434
23,9,0.015891,-57.880277,-51.606432
23,10,-0.141803,-58.558957,-55.274723
