seed,k,mean_return,posterior_mean_norm,posterior_var_mean,posterior_kl
7,0,-58.347355,0.000000,1.000000,0.000000
7,1,-59.303480,1.082360,0.178283,2.649219
7,2,-58.617821,1.087221,0.091321,3.840324
7,3,-55.887679,1.033441,0.058625,4.552259
7,5,-54.914186,1.078094,0.036044,5.517147
13,0,-52.885963,0.000000,1.000000,0.000000
13,1,-53.954512,0.918439,0.204173,2.162849
13,2,-52.477180,0.883439,0.105210,3.271825
13,3,-55.889947,0.948176,0.071703,4.026199
13,5,-52.578190,0.925230,0.042751,4.960928
23,0,-53.383343,0.000000,1.000000,0.000000
23,1,-59.674710,0.956073,0.183157,2.578501
23,2,-58.306520,0.973131,0.092349,3.778571
23,3,-57.527337,0.973255,0.061009,4.559586
23,5,-57.903750,1.033728,0.037589,5.543087
