seed,iteration,q_loss,v_loss,policy_loss,kl_loss,mean_transitions_per_task
7,1,1.782997,0.003905,0.849420,6.897336,360.00
7,2,0.612217,0.003096,1.422469,6.472283,480.00
7,3,0.550995,0.001722,1.800598,5.755787,600.00
7,4,0.331128,0.005209,2.176446,4.712959,720.00
7,5,0.272737,0.007876,2.130327,4.041769,840.00
7,6,0.451004,0.005639,2.348553,3.528526,960.00
7,7,0.342306,0.014421,2.420885,2.993328,1080.00
7,8,0.472482,0.014328,2.564919,2.764006,1200.00
7,9,0.467978,0.089426,3.197182,2.411049,1320.00
7,10,0.359342,0.049001,2.680280,2.431585,1440.00
7,11,0.282011,0.023419,3.190697,2.479981,1560.00
7,12,0.388589,0.015576,3.155345,2.373733,1680.00
7,13,0.481083,0.043505,3.853692,2.318974,1800.00
7,14,0.347032,0.038849,3.321994,2.217011,1920.00
7,15,0.511755,0.007123,3.791589,2.354967,2040.00
13,1,0.750433,0.001856,0.739458,6.572512,360.00
13,2,0.233017,0.003647,1.306316,6.044338,480.00
13,3,0.425684,0.011607,1.609857,5.279776,600.00
13,4,0.341581,0.009095,1.842866,4.230431,720.00
13,5,0.331926,0.016970,1.691990,3.503599,840.00
13,6,0.331560,0.029146,2.214689,2.928401,960.00
13,7,0.196350,0.048088,2.261565,2.815145,1080.00
13,8,0.455136,0.008084,2.041308,2.461070,1200.00
13,9,0.364444,0.065924,2.560248,2.476727,1320.00
13,10,0.468136,0.005982,2.718907,2.286985,1440.00
13,11,0.336612,0.007040,2.342644,2.215827,1560.00
13,12,0.391529,0.005919,3.110662,2.653415,1680.00
13,13,0.447177,0.012041,2.901544,2.114766,1800.00
13,14,0.438238,0.008967,3.659644,2.272363,1920.00
13,15,0.429920,0.037143,2.878216,1.787627,2040.00
23,1,1.038002,0.005002,0.787392,6.791185,360.00
23,2,0.386705,0.002650,1.330268,6.398484,480.00
23,3,0.268377,0.009646,1.741689,5.698496,600.00
23,4,0.280779,0.007195,1.718100,5.083386,720.00
23,5,0.346776,0.004425,1.734149,4.319605,840.00
23,6,0.221301,0.002320,1.757048,3.662914,960.00
23,7,0.310498,0.006231,2.161711,3.258003,1080.00
23,8,0.255626,0.028181,1.876853,2.658588,1200.00
23,9,0.274782,0.063496,2.424764,2.789618,1320.00
23,10,0.253624,0.036494,2.255605,2.879368,1440.00
23,11,0.355123,0.007026,2.696851,2.733452,1560.00
23,12,0.370439,0.044915,2.898695,2.626194,1680.00
23,13,0.735311,0.010581,4.044046,3.036123,1800.00
23,14,0.454560,0.006233,3.136819,2.499090,1920.00
23,15,0.438965,0.023416,3.155166,2.482776,2040.00
