seed,iteration,q_loss,v_loss,policy_loss,kl_loss,mean_transitions_per_task
7,1,0.509868,0.005885,1.754144,7.315190,480.00
7,2,0.442746,0.001527,1.752343,5.694695,600.00
7,3,0.498614,0.001050,1.757034,4.518195,720.00
7,4,0.300483,0.004189,2.079227,3.335575,840.00
7,5,0.266172,0.021119,2.685272,2.698410,960.00
7,6,0.386284,0.008485,2.625045,2.298223,1080.00
7,7,0.337033,0.249798,4.119598,2.746592,1200.00
7,8,0.385951,0.015109,2.905588,2.191185,1320.00
7,9,0.358528,0.015387,3.729958,2.202400,1440.00
7,10,0.517831,0.013121,3.304067,2.335541,1560.00
7,11,0.675411,0.061927,3.601380,2.027666,1680.00
7,12,0.402169,0.026322,4.838080,2.173980,1800.00
7,13,1.086267,0.037665,4.580707,2.266853,1920.00
7,14,0.862309,0.015280,4.912433,2.558948,2040.00
7,15,1.333361,0.010911,4.160878,1.812863,2160.00
7,16,1.544011,0.090044,6.438812,3.073825,2280.00
7,17,1.072503,0.084876,6.504432,2.303139,2400.00
7,18,1.031399,0.418770,7.454405,2.572081,2520.00
7,19,2.227375,0.149341,6.433780,2.596332,2640.00
7,20,2.002543,0.031761,6.625659,2.733219,2760.00
7,21,1.846492,0.051728,6.813875,2.572291,2880.00
7,22,1.535705,0.192701,5.915095,2.268490,3000.00
7,23,1.669350,0.025594,5.747049,1.974634,3120.00
7,24,2.304309,0.025422,8.038574,2.843233,3240.00
7,25,1.773664,0.040759,6.694144,1.950512,3360.00
7,26,1.830160,0.014488,7.038622,1.734403,3480.00
7,27,1.885667,0.033465,8.414343,2.586445,3600.00
7,28,5.838547,0.056187,8.708910,2.610889,3720.00
7,29,3.330358,0.033731,7.475067,2.500473,3840.00
7,30,1.792986,0.088394,7.695761,2.287279,3960.00
7,31,4.292171,0.040053,7.958444,2.345897,4080.00
7,32,2.285857,0.013394,7.849278,2.873661,4200.00
7,33,4.618441,0.168530,8.358379,2.600794,4320.00
7,34,4.051468,0.020362,9.733663,3.631708,4440.00
7,35,4.882012,0.134022,8.182749,2.424069,4560.00
7,36,2.647002,0.127220,10.654078,3.719014,4680.00
7,37,3.259427,0.044433,8.053284,2.330566,4800.00
7,38,0.918981,0.049336,7.236597,2.464154,4920.00
7,39,8.057102,0.017683,8.442510,2.042596,5040.00
7,40,1.201538,0.046181,7.767347,2.264645,5160.00
7,41,2.987012,0.067453,9.492104,3.334373,5280.00
7,42,8.652761,0.166785,10.047933,3.924361,5400.00
7,43,1.015774,0.034471,10.136183,2.395151,5520.00
7,44,5.450890,0.149587,10.953737,3.428028,5640.00
7,45,4.617442,0.392233,10.758144,2.921010,5760.00
13,1,0.380788,0.003916,1.486405,6.365782,480.00
13,2,0.281259,0.004419,1.535233,5.140530,600.00
13,3,0.223776,0.022928,1.651276,3.916323,720.00
13,4,0.256957,0.017903,1.988116,3.030413,840.00
13,5,0.357186,0.015240,2.638878,2.687434,960.00
13,6,0.353926,0.054411,2.678106,2.371890,1080.00
13,7,0.199201,0.010277,2.733132,2.309656,1200.00
13,8,0.708398,0.012192,3.210818,2.699263,1320.00
13,9,0.377400,0.093257,3.817085,2.426590,1440.00
13,10,0.537185,0.017274,3.711436,2.101400,1560.00
13,11,0.785561,0.042682,4.174730,2.470787,1680.00
13,12,0.318464,0.016680,3.881144,2.150511,1800.00
13,13,0.814600,0.022865,5.143364,2.477107,1920.00
13,14,0.751376,0.008452,3.541136,1.908665,2040.00
13,15,0.341040,0.035932,4.033022,1.707946,2160.00
13,16,0.438076,0.012443,4.751505,1.796486,2280.00
13,17,1.245361,0.021954,5.156217,1.762746,2400.00
13,18,1.072385,0.043291,6.929546,2.628724,2520.00
