seed,iteration,policy_loss,value_loss,mean_task_return
7,1,-0.174373,1.005686,-217.368253
7,2,-0.088231,0.998625,-205.195941
7,3,-0.076897,0.997892,-212.001518
7,4,0.018632,0.994794,-219.442430
7,5,0.024533,0.995748,-222.987436
7,6,0.056338,0.995903,-221.072934
7,7,0.105327,0.992960,-267.153891
7,8,0.064472,0.994994,-179.346242
7,9,0.074670,0.993729,-167.785001
7,10,0.144185,0.990051,-220.556036
7,11,0.116571,0.989917,-197.173976
7,12,0.195829,0.988272,-249.634148
7,13,0.070090,0.984384,-181.473145
7,14,0.180322,0.987018,-228.144495
7,15,0.148955,0.979439,-220.698780
7,16,-0.030757,1.000168,-129.955937
7,17,0.147067,0.975516,-243.483084
7,18,0.072720,0.996805,-211.880648
7,19,0.023211,0.989540,-182.523873
7,20,0.228276,0.971512,-237.513736
7,21,0.067493,0.997223,-171.825498
7,22,0.100887,0.989598,-201.995758
7,23,0.145776,0.980021,-233.970290
7,24,0.082578,0.983386,-222.872462
7,25,0.139437,0.986894,-261.214193
7,26,-0.112312,0.988154,-151.082582
7,27,-0.076596,0.975536,-183.757199
7,28,-0.002196,0.971959,-191.376571
7,29,-0.074237,0.977639,-197.740491
7,30,-0.039478,0.991304,-190.666850
7,31,0.098501,0.979053,-197.772280
7,32,0.076919,0.971940,-231.852419
7,33,0.002936,0.974611,-201.428953
7,34,0.077627,0.969507,-201.783716
7,35,0.003212,0.985573,-195.414850
7,36,-0.090860,0.993199,-144.397619
7,37,0.154555,0.979064,-218.906225
7,38,0.295204,0.971871,-224.294490
7,39,0.094399,0.975498,-200.166922
7,40,0.181933,0.966287,-191.970165
7,41,0.071840,0.967616,-178.763333
7,42,0.216726,0.966932,-223.702566
7,43,0.095182,0.975449,-209.149288
7,44,0.259580,0.978191,-226.980028
7,45,0.040779,0.966632,-206.329073
7,46,0.243201,0.950946,-252.622612
7,47,-0.237480,0.973678,-167.298857
7,48,-0.143831,0.950706,-213.407626
7,49,-0.192958,0.968290,-201.830010
7,50,-0.265060,0.956622,-176.275036
13,1,0.289202,1.002150,-205.939784
13,2,0.296465,1.000268,-194.785423
