seed,iteration,policy_loss,value_loss,entropy,approx_kl,mean_task_return
7,1,-0.004290,1.569633,0.836677,0.011025,-210.746886
7,2,-0.002565,1.368258,0.835243,0.002718,-220.704697
7,3,-0.003402,1.283038,0.834720,0.000767,-212.487130
7,4,-0.002067,1.016582,0.834495,0.001908,-203.227626
7,5,0.000139,1.187728,0.834371,0.001335,-213.622452
7,6,-0.000599,1.211416,0.834122,0.002146,-251.498996
7,7,-0.002290,1.135970,0.833781,0.003801,-267.587139
7,8,0.000657,0.986743,0.834145,0.000545,-252.704521
7,9,-0.003035,0.829633,0.834996,0.009403,-277.285885
7,10,-0.008672,0.397539,0.835684,-0.005674,-178.497469
7,11,0.001166,0.548445,0.835574,0.011482,-238.859756
7,12,-0.009643,0.768841,0.835045,0.000389,-274.176343
7,13,0.000671,0.639620,0.834701,-0.001160,-286.946081
7,14,-0.003087,0.609752,0.834694,0.001420,-278.380901
7,15,-0.000963,0.425212,0.834989,0.002017,-185.542815
13,1,-0.003470,3.082436,0.836733,0.005496,-277.487872
13,2,-0.003988,0.817990,0.835664,0.000142,-152.102168
13,3,-0.005280,1.914037,0.835014,0.000942,-243.933715
13,4,-0.001128,0.612706,0.834614,0.003201,-145.132128
13,5,-0.000232,0.681024,0.835172,-0.001375,-160.192984
13,6,-0.005655,1.365274,0.835745,0.002202,-237.040064
13,7,-0.002059,1.159886,0.835855,0.004802,-230.959134
13,8,-0.001667,0.193253,0.835574,0.004635,-144.421153
13,9,0.000812,0.195510,0.835052,0.003575,-151.561859
13,10,-0.000359,0.583276,0.834606,0.000711,-227.763156
13,11,0.000376,0.326725,0.834045,0.000473,-205.610133
13,12,-0.002772,0.582556,0.833717,0.004825,-233.207371
13,13,-0.002969,0.381884,0.833869,0.002999,-169.268350
13,14,-0.004268,0.457282,0.834256,-0.000530,-203.585271
13,15,-0.001548,0.345535,0.834981,0.000476,-191.275985
23,1,-0.005207,0.354611,0.837876,0.001550,-111.938428
23,2,-0.003024,0.545600,0.837262,-0.000771,-141.054115
23,3,-0.002396,0.746833,0.837495,-0.001641,-167.410002
23,4,-0.001386,1.550499,0.837883,-0.001723,-236.187512
23,5,-0.002082,0.229728,0.837548,0.001940,-118.584821
23,6,-0.006010,0.414627,0.837078,0.008103,-148.712048
23,7,0.000372,0.706244,0.836546,-0.000338,-220.152230
23,8,-0.000521,0.526289,0.835767,0.002493,-173.197811
23,9,-0.001804,0.313006,0.835237,-0.000893,-190.721829
23,10,-0.004113,0.195784,0.835152,0.000210,-163.238180
23,11,-0.002960,0.215303,0.835405,-0.000173,-146.977475
23,12,0.000049,0.285723,0.835940,0.004779,-137.205010
23,13,-0.003019,0.456081,0.836365,-0.000844,-246.944028
23,14,-0.002175,0.284587,0.836811,0.000695,-101.023598
23,15,-0.000942,0.229541,0.837363,0.000889,-104.751295
